Date,WinLoss,Open
11/5/2019,-48,
11/6/2019,-48,
11/7/2019,-48,
11/8/2019,-47,
11/9/2019,-46,
11/10/2019,-46,
11/11/2019,-46,
11/12/2019,-44,
11/13/2019,-43,
11/14/2019,-45,
11/15/2019,-45,
11/16/2019,-45,
11/17/2019,-45,
11/18/2019,-46,
11/19/2019,-45,
11/20/2019,-45,
11/21/2019,-44,
11/22/2019,-46,
11/23/2019,-46,
11/24/2019,-47,
11/25/2019,-47,
11/26/2019,-47,
11/27/2019,-47,
11/28/2019,-47,
11/29/2019,-48,
11/30/2019,-46,
12/1/2019,-46,
12/2/2019,-46,
12/3/2019,-47,
12/4/2019,-47,
12/5/2019,-45,
12/6/2019,-46,
12/7/2019,-47,
12/8/2019,-46,
12/9/2019,-45,
12/10/2019,-46,
12/11/2019,-46,
12/12/2019,-44,
12/13/2019,-44,
12/14/2019,-44,
12/15/2019,-45,
12/16/2019,-47,
12/17/2019,-48,
12/18/2019,-48,
12/19/2019,-47,
12/20/2019,-48,
12/21/2019,-49,
12/22/2019,-50,
12/23/2019,-52,
12/24/2019,-52,
12/25/2019,-52,
12/26/2019,-52,
12/27/2019,-52,
12/28/2019,-51,
12/29/2019,-52,
12/30/2019,-52,
12/31/2019,-52,
1/1/2020,-52,
1/2/2020,-55,
1/3/2020,-55,
1/4/2020,-57,
1/5/2020,-58,
1/6/2020,-57,
1/7/2020,-55,
1/8/2020,-55,
1/9/2020,-54,
1/10/2020,-54,
1/11/2020,-56,
1/12/2020,-58,
1/13/2020,-58,
1/14/2020,-57,
1/15/2020,-57,
1/16/2020,-57,
1/17/2020,-57,
1/18/2020,-58,
1/19/2020,-60,
1/20/2020,-60,
1/21/2020,-60,
1/22/2020,-60,
1/23/2020,-61,
1/24/2020,-61,
1/25/2020,-61,
1/26/2020,-62,
1/27/2020,-62,
1/28/2020,-62,
1/29/2020,-62,
1/30/2020,-62,
1/31/2020,-61,
2/1/2020,-61,
2/2/2020,-62,
2/3/2020,-64,
2/4/2020,-63,
2/5/2020,-62,
2/6/2020,-61,
2/7/2020,-62,
2/8/2020,-63,
2/9/2020,-61,
2/10/2020,-61,
2/11/2020,-59,
2/12/2020,-59,
2/13/2020,-59,
2/14/2020,-58,
2/15/2020,-59,
2/16/2020,-59,
2/17/2020,-60,
2/18/2020,-60,
2/19/2020,-60,
2/20/2020,-60,
2/21/2020,-58,
2/22/2020,-57,
2/23/2020,-57,
2/24/2020,-57,
2/25/2020,-57,
2/26/2020,-57,
2/27/2020,-57,
2/28/2020,-58,
2/29/2020,-59,
3/1/2020,-60,
3/2/2020,-60,
3/3/2020,-62,
3/4/2020,-62,
3/5/2020,-62,
3/6/2020,-62,
3/7/2020,-64,
3/8/2020,-64,
3/9/2020,-64,
3/10/2020,-64,
3/11/2020,-65,
3/12/2020,-65,
3/13/2020,-65,
3/14/2020,-65,
3/15/2020,-67,
3/16/2020,-67,
3/17/2020,-67,
3/18/2020,-67,
3/19/2020,-67,
3/20/2020,-67,
3/21/2020,-67,
3/22/2020,-67,
3/23/2020,-67,
3/24/2020,-66,
3/25/2020,-67,
3/26/2020,-67,
3/27/2020,-66,
3/28/2020,-67,
3/29/2020,-67,
3/30/2020,-68,
3/31/2020,-67,
4/1/2020,-66,
4/2/2020,-67,
4/3/2020,-68,
4/4/2020,-67,
4/5/2020,-68,
4/6/2020,-67,
4/7/2020,-66,
4/8/2020,-65,
4/9/2020,-64,
4/10/2020,-66,
4/11/2020,-66,
4/12/2020,-68,
4/13/2020,-69,
4/14/2020,-68,
4/15/2020,-68,
4/16/2020,-68,
4/17/2020,-69,
4/18/2020,-68,
4/19/2020,-67,
4/20/2020,-65,
4/21/2020,-65,
4/22/2020,-66,
4/23/2020,-65,
4/24/2020,-67,
4/25/2020,-66,
4/26/2020,-67,
4/27/2020,-66,
4/28/2020,-67,
4/29/2020,-66,
4/30/2020,-66,
5/1/2020,-64,
5/2/2020,-64,
5/3/2020,-66,
5/4/2020,-67,
5/5/2020,-66,
5/6/2020,-65,
5/7/2020,-65,
5/8/2020,-66,
5/9/2020,-66,
5/10/2020,-67,
5/11/2020,-67,
5/12/2020,-69,
5/13/2020,-68,
5/14/2020,-68,
5/15/2020,-67,
5/16/2020,-65,
5/17/2020,-65,
5/18/2020,-63,
5/19/2020,-62,
5/20/2020,-63,
