Date,WinLoss,Open
1/13/2020,10,
1/14/2020,11,
1/15/2020,10,
1/16/2020,10,
1/17/2020,10,
1/18/2020,9,
1/19/2020,8,
1/20/2020,10,
1/21/2020,10,
1/22/2020,10,
1/23/2020,9,
1/24/2020,10,
1/25/2020,10,
1/26/2020,9,
1/27/2020,10,
1/28/2020,10,
1/29/2020,10,
1/30/2020,10,
1/31/2020,11,
2/1/2020,10,
2/2/2020,9,
2/3/2020,8,
2/4/2020,11,
2/5/2020,11,
2/6/2020,11,
2/7/2020,9,
2/8/2020,9,
2/9/2020,12,
2/10/2020,10,
2/11/2020,12,
2/12/2020,10,
2/13/2020,10,
2/14/2020,11,
2/15/2020,9,
2/16/2020,10,
2/17/2020,9,
2/18/2020,10,
2/19/2020,10,
2/20/2020,10,
2/21/2020,12,
2/22/2020,11,
2/23/2020,10,
2/24/2020,10,
2/25/2020,10,
2/26/2020,10,
2/27/2020,10,
2/28/2020,9,
2/29/2020,9,
3/1/2020,9,
3/2/2020,10,
3/3/2020,8,
3/4/2020,10,
3/5/2020,10,
3/6/2020,10,
3/7/2020,8,
3/8/2020,10,
3/9/2020,10,
3/10/2020,10,
3/11/2020,9,
3/12/2020,10,
3/13/2020,10,
3/14/2020,10,
3/15/2020,8,
3/16/2020,10,
3/17/2020,10,
3/18/2020,10,
3/19/2020,10,
3/20/2020,10,
3/21/2020,10,
3/22/2020,10,
3/23/2020,10,
3/24/2020,11,
3/25/2020,9,
3/26/2020,10,
3/27/2020,11,
3/28/2020,9,
3/29/2020,10,
3/30/2020,9,
3/31/2020,11,
4/1/2020,11,
4/2/2020,9,
4/3/2020,9,
4/4/2020,11,
4/5/2020,9,
4/6/2020,11,
4/7/2020,11,
4/8/2020,11,
4/9/2020,11,
4/10/2020,8,
4/11/2020,10,
4/12/2020,8,
4/13/2020,9,
4/14/2020,11,
4/15/2020,10,
4/16/2020,10,
4/17/2020,9,
4/18/2020,11,
4/19/2020,11,
4/20/2020,12,
4/21/2020,10,
4/22/2020,9,
4/23/2020,11,
4/24/2020,8,
4/25/2020,11,
4/26/2020,9,
4/27/2020,11,
4/28/2020,9,
4/29/2020,11,
4/30/2020,10,
5/1/2020,12,
5/2/2020,10,
5/3/2020,8,
5/4/2020,9,
5/5/2020,11,
5/6/2020,11,
5/7/2020,10,
5/8/2020,9,
5/9/2020,10,
5/10/2020,9,
5/11/2020,10,
5/12/2020,8,
5/13/2020,11,
5/14/2020,10,
5/15/2020,11,
5/16/2020,12,
5/17/2020,10,
5/18/2020,12,
5/19/2020,11,
5/20/2020,9,
5/21/2020,11,
5/22/2020,10,
5/23/2020,10,
5/24/2020,12,
5/25/2020,10,
5/26/2020,10,
5/27/2020,10,
5/28/2020,12,
5/29/2020,10,
5/30/2020,10,
5/31/2020,11,
6/1/2020,11,
6/2/2020,9,
6/3/2020,11,
6/4/2020,11,
6/5/2020,10,
